科目名,学科,開講学期,曜日・時限,単位数,授業形態,実施方法,教授名,到達目標,概要,授業計画,成績評価基準,成績評価結果,配当年次,カテゴリ
情報メディア実習,情報システムデザイン学科,春学期,木曜日1講時,1,実習,面接/Face-to-face,加藤　恒夫,知識：コンピュータによるマルチメディア処理の概要を理解する． 技能：一般的な文書作成ソフト・表計算ソフト・プレゼンテーションソフトを用いてマルチメディアを活用した情報表現と情報処理ができるようになる． 態度：マルチメディアを活用した情報表現の実現手段を自ら考えられるようになる．,図・グラフ・写真・音などのマルチメディアを活用した情報表現，情報処理の基礎を，文書作成ソフト，表計算ソフト，プレゼンテーションソフトなどを用いて実習する． 通信会社の研究所での研究開発の経験を有する教員が，実社会でのコンピュータ利用の実態を踏まえて，実習を進める．,"[{""授業回"": ""第1回"", ""内容"": ""実習の概説""}, {""授業回"": ""第2回"", ""内容"": ""文字処理（Microsoft Wordの基本）""}, {""授業回"": ""第3回"", ""内容"": ""文字処理（Microsoft Wordにおける図形描画）""}, {""授業回"": ""第4回"", ""内容"": ""表計算処理""}, {""授業回"": ""第5回"", ""内容"": ""図形処理（フローチャート・数式・グラフの作成）""}, {""授業回"": ""第6回"", ""内容"": ""図形処理（Microsoft Wordを用いた課題演習）""}, {""授業回"": ""第7回"", ""内容"": ""画像処理（物体抽出・輪郭抽出）""}, {""授業回"": ""第8回"", ""内容"": ""画像処理（雑音除去・課題演習）""}, {""授業回"": ""第9回"", ""内容"": ""シミュレーションとマルチメディア（放物運動）""}, {""授業回"": ""第10回"", ""内容"": ""シミュレーションとマルチメディア（空気抵抗と揚力）""}, {""授業回"": ""第11回"", ""内容"": ""シミュレーションとマルチメディア（課題演習）""}, {""授業回"": ""第12回"", ""内容"": ""プレゼンテーション（Microsoft PowerPointの基本）""}, {""授業回"": ""第13回"", ""内容"": ""プレゼンテーション（マルチメディアファイルの追加）""}, {""授業回"": ""第14回"", ""内容"": ""プレゼンテーション（課題演習）""}, {""授業回"": ""第15回"", ""内容"": ""総括""}]","[{""項目"": ""実習レポート"", ""割合"": ""80%"", ""詳細"": ""各回の実習課題に対する提出資料の完成度""}, {""項目"": ""平常点"", ""割合"": ""20%"", ""詳細"": ""授業参加態度""}]","{""登録者数"": ""102"", ""A"": ""38.2"", ""B"": ""38.2"", ""C"": ""11.8"", ""D"": ""6.9"", ""F"": ""4.9"", ""他"": ""0.0"", ""評点平均値"": ""3.0"", ""備考"": """"}",1,
情報科学基礎,情報システムデザイン学科,春学期,月曜日3講時,2,講義,面接/Face-to-face,大崎　美穂,情報科学・情報工学の入門として基本的な学習項目(コンピュータの歴史や仕組み・データ表現といった初歩的な概念や知識，チューリングマシン・論理と推論・経路問題といった問題の抽象化とアルゴリズム，情報システムの設計・開発や情報社会における情報倫理)を理解し習得する。,本科目は情報科学・情報工学への入口という位置づけのもと，これらの基礎知識の習得を目的とする。全回は3つの段階に分かれており，第1段階では初歩的な概念や知識（コンピュータの歴史や仕組み，データ表現，情報技術の俯瞰など）を身に付ける。第2段階では問題の抽象化とアルゴリズム（チューリングマシン，論理と推論，経路問題，再帰問題など）について学ぶ。第3段階では社会と情報システム（情報インフラ，情報システムの具体例，情報システムの設計・開発・運用，情報倫理など）について学ぶ。,"[{""授業回"": ""1"", ""内容"": ""ガイダンス（何をどのように学ぶのか） 担当：大崎""}, {""授業回"": ""2"", ""内容"": ""データ，情報，コンピュータの概念 担当：大崎""}, {""授業回"": ""3"", ""内容"": ""コンピュータの基礎知識　その1（歴史，ハードウェアとソフトウェア） 担当：大崎""}, {""授業回"": ""4"", ""内容"": ""コンピュータの基礎知識　その2（データ表現） 担当：大崎""}, {""授業回"": ""5"", ""内容"": ""小テスト1 担当：大崎""}, {""授業回"": ""6"", ""内容"": ""コンピュータの基礎知識　その3（メモリとCPU，OSとアプリケーション） 担当：大崎""}, {""授業回"": ""7"", ""内容"": ""コンピュータの基礎知識　その4（マルチメディア，データベース，通信ネットワーク） 担当：大崎""}, {""授業回"": ""8"", ""内容"": ""問題の抽象化とアルゴリズム　その1（チューリングマシン，計算可能性） 担当：大崎""}, {""授業回"": ""9"", ""内容"": ""問題の抽象化とアルゴリズム　その2（論理と推論） 担当：大崎""}, {""授業回"": ""10"", ""内容"": ""小テスト2 担当：大崎""}, {""授業回"": ""11"", ""内容"": ""問題の抽象化とアルゴリズム　その3（経路問題） 担当：大崎""}, {""授業回"": ""12"", ""内容"": ""問題の抽象化とアルゴリズム　その4（再帰問題） 担当：大崎""}, {""授業回"": ""13"", ""内容"": ""社会と情報システム（情報インフラ，情報システムの設計・開発・運用） 担当：大崎""}, {""授業回"": ""14"", ""内容"": ""小テスト3 担当：大崎""}, {""授業回"": ""15"", ""内容"": ""全体のふり返りと授業の講評 担当：大崎""}]","[{""項目"": ""平常点（受講）"", ""割合"": ""25%"", ""詳細"": ""受講状況に基づき，日頃の勉学の努力を評価する。私語等で他の受講者に迷惑をかけた場合は減点する。""}, {""項目"": ""平常点（小テスト1）"", ""割合"": ""25%"", ""詳細"": ""本科目の前半に行い，学習項目の理解度を確認する。""}, {""項目"": ""平常点（小テスト2）"", ""割合"": ""25%"", ""詳細"": ""本科目の中盤に行い，学習項目の理解度を確認する。""}, {""項目"": ""平常点（小テスト3）"", ""割合"": ""25%"", ""詳細"": ""本科目の後半に行い，学習項目の理解度を確認する。""}, {""項目"": ""特記事項"", ""割合"": """", ""詳細"": ""授業の進め方や成績評価については，第1回の講義にて詳しく説明する。受講生はこの説明に従うこと。必要に応じて，e-classのメッセージでも連絡する。受講生は連絡を見逃さないために，日頃，e-classのメッセージを確認するように。""}]","{""登録者数"": ""77"", ""A"": ""29.9"", ""B"": ""32.5"", ""C"": ""20.8"", ""D"": ""11.7"", ""F"": ""5.2"", ""他"": ""0.0"", ""評点平均値"": ""2.7"", ""備考"": """"}",1,
情報数学の基礎,情報システムデザイン学科,春学期,水曜日2講時,2,講義,面接/Face-to-face,高橋　和彦,学生が，システムの設計開発で用いられる数学的知識の基礎の一つである代数・線形代数の基礎知識を理解できるようになることを目標とする．,システムの設計や開発で用いられる数学的知識の基礎，例えば，パターン認識，画像処理やコンピュータグラフィクス，ロボティクスやシステム制御などにおける設計や解析において基本的な知識となる代数・線形代数の基礎を中心に講述する。,"[{""授業回"": ""第1回"", ""内容"": ""イントロダクション・論理演算""}, {""授業回"": ""第2回"", ""内容"": ""「論理演算」のオンデマンド動画内で提示される課題の演習""}, {""授業回"": ""第3回"", ""内容"": ""集合演算（１）""}, {""授業回"": ""第4回"", ""内容"": ""集合演算（２）""}, {""授業回"": ""第5回"", ""内容"": ""集合演算（３）""}, {""授業回"": ""第6回"", ""内容"": ""関係・写像（１）""}, {""授業回"": ""第7回"", ""内容"": ""関係・写像（２）""}, {""授業回"": ""第8回"", ""内容"": ""代数系（１）""}, {""授業回"": ""第9回"", ""内容"": ""代数系（２）""}, {""授業回"": ""第10回"", ""内容"": ""代数系（３）""}, {""授業回"": ""第11回"", ""内容"": ""行列（１）""}, {""授業回"": ""第12回"", ""内容"": ""行列（２）""}, {""授業回"": ""第13回"", ""内容"": ""線形写像（１）""}, {""授業回"": ""第14回"", ""内容"": ""線形写像（２）""}, {""授業回"": ""第15回"", ""内容"": ""線形写像（３）""}, {""授業回"": ""第16回"", ""内容"": ""まとめ・補遺""}, {""授業回"": ""第17回"", ""内容"": ""「まとめ・補遺」のオンデマンド動画内で提示される課題の演習""}]","[{""項目"": ""平常点（演習，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""10%"", ""詳細"": ""演習問題による小テストを行い，講義内容の理解度を確認することがある．""}, {""項目"": ""期末試験"", ""割合"": ""90%"", ""詳細"": ""講義内容の理解度を記述式の課題により評価する．""}]","{""登録者数"": ""70"", ""A"": ""18.6"", ""B"": ""24.3"", ""C"": ""21.4"", ""D"": ""18.6"", ""F"": ""17.1"", ""他"": ""0.0"", ""評点平均値"": ""2.1"", ""備考"": """"}",1,
情報通信ネットワーク実習,情報システムデザイン学科,秋学期,水曜日1講時,1,実習,面接/Face-to-face,木村　共孝,（知識） 情報通信ネットワーク内のパケットの流れを理解できるようになる． （技能） パケットキャプチャソフトを用いて基礎的なパケットの分析ができるようになる． （態度） 情報通信ネットワークを使う上で必要な知識・技術を身に付けるようになる．,情報通信ネットワークにおける通信の仕組みをパケットキャプチャソフトを用いた実習を通して習得する．,"[{""授業回"": ""1"", ""内容"": ""情報ネットワークの基礎知識""}, {""授業回"": ""2"", ""内容"": ""物理層（LANケーブル）""}, {""授業回"": ""3"", ""内容"": ""物理層（LANケーブル）""}, {""授業回"": ""4"", ""内容"": ""データリンク層のプロトコル""}, {""授業回"": ""5"", ""内容"": ""データリンク層のプロトコル""}, {""授業回"": ""6"", ""内容"": ""ネットワーク層（静的経路設定）""}, {""授業回"": ""7"", ""内容"": ""ネットワーク層（静的経路設定）""}, {""授業回"": ""8"", ""内容"": ""DHCP, NAT，ファイアウォール""}, {""授業回"": ""9"", ""内容"": ""DHCP, NAT，ファイアウォール""}, {""授業回"": ""10"", ""内容"": ""ネットワーク層（RIP, OSPF）""}, {""授業回"": ""11"", ""内容"": ""ネットワーク層（RIP, OSPF）""}, {""授業回"": ""12"", ""内容"": ""ネットワーク層（BGP）""}, {""授業回"": ""13"", ""内容"": ""ネットワーク層（BGP）""}, {""授業回"": ""14"", ""内容"": ""TCP, HTTP""}, {""授業回"": ""15"", ""内容"": ""まとめ""}]","[{""項目"": ""平常点（出席，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""20%"", ""詳細"": ""出席および講義内での議論への参加を評価する．""}, {""項目"": ""小レポート，実習課題の提出"", ""割合"": ""80%"", ""詳細"": ""講義内容の理解度を評価する．""}]","{""登録者数"": ""16"", ""A"": ""56.3"", ""B"": ""25.0"", ""C"": ""12.5"", ""D"": ""6.3"", ""F"": ""0.0"", ""他"": ""0.0"", ""評点平均値"": ""3.3"", ""備考"": """"}",3,
情報表現,情報システムデザイン学科,秋学期,月曜日3講時,2,講義,面接/Face-to-face,田村　晃裕,知識：コンピュータにおける情報表現に関する基本的な知識を理解できるようになる。 技能：種々のデータや情報をコンピュータで扱える形で表現することができるようになる。 態度：様々な情報の表現手法を探究できるようになる。,現在のマルチメディア社会では，コンピュータで様々な種類の情報を処理している。コンピュータで情報を処理するためには，処理対象の情報をコンピュータが扱える形で表現する必要がある。本講義では，コンピュータにおいて数値などの基本データやテキスト，音声，画像などの種々の情報を表現する方法について講義する。企業内研究所での勤務経験を有する教員が，当該研究所で習得した技術を基礎とした講義を行っている。,"[{""授業回"": ""1"", ""内容"": ""ガイダンス及び概要""}, {""授業回"": ""2"", ""内容"": ""基本データの表現（1）""}, {""授業回"": ""3"", ""内容"": ""基本データの表現（2）""}, {""授業回"": ""4"", ""内容"": ""情報量""}, {""授業回"": ""5"", ""内容"": ""通信路モデル""}, {""授業回"": ""6"", ""内容"": ""情報圧縮（1）""}, {""授業回"": ""7"", ""内容"": ""情報圧縮（2）""}, {""授業回"": ""8"", ""内容"": ""中間試験""}, {""授業回"": ""9"", ""内容"": ""テキストの表現（1）""}, {""授業回"": ""10"", ""内容"": ""テキストの表現（2）""}, {""授業回"": ""11"", ""内容"": ""音の表現""}, {""授業回"": ""12"", ""内容"": ""画像・動画の表現（1）""}, {""授業回"": ""13"", ""内容"": ""画像・動画の表現（2）""}, {""授業回"": ""14"", ""内容"": ""画像・動画の表現（3）""}, {""授業回"": ""15"", ""内容"": ""総括""}]","[{""項目"": ""平常点(小テスト／小レポート等）"", ""割合"": ""30%"", ""詳細"": ""各回の講義内容に関する小テスト／小レポートの提出状況及び成績。""}, {""項目"": ""中間試験"", ""割合"": ""35%"", ""詳細"": ""講義内容の理解，思考力。""}, {""項目"": ""期末試験"", ""割合"": ""35%"", ""詳細"": ""講義内容の理解，思考力。""}]","{""登録者数"": ""85"", ""A"": ""7.1"", ""B"": ""18.8"", ""C"": ""18.8"", ""D"": ""28.2"", ""F"": ""27.1"", ""他"": ""0.0"", ""評点平均値"": ""1.5"", ""備考"": ""*""}",1,
情報理論,情報システムデザイン学科,秋学期,月曜日1講時,2,講義,面接/Face-to-face,程　俊,情報をより速く，より正確に伝送する問題を解く出発点は「情報」と「それを運ぶもの」とを区別することである。この立場に立って，情報を担っている通報をそれが持っている情報を失わないように圧縮する「情報源符号化問題」と誤りの起こりうる通信路による情報伝送の誤りを抑制する「通信路符号化問題」を理解することがこの科目の目標である。,情報理論は，誤りの起りうる通信環境のもとで，情報をより速く，より正確に伝送する方法を解明する理論である。情報源から出力される通報を，それが持つ情報を失わないように圧縮する「情報源符号化問題」と雑音の妨害を受けている通信路による情報伝送において伝送誤りを抑制する「通信路符号化問題」の二つが情報理論の課題である。これらの問題は情報の量的表示である「情報量」を基にして論じられる。通信路符号の構成問題は，「符号理論」で詳細に論ずる。 民間の研究機関および企業内研究所での勤務経験を有する教員が，実務で習得した技術を基礎とした講義を行っている． キーワード：情報源符号化，Shannonエントロピーの操作論的・直感的意味付け，情報の量的表示，通信路符号化,"[{""授業回"": ""第1回"", ""内容"": ""情報理論における情報伝達（第1章）""}, {""授業回"": ""第2回"", ""内容"": ""情報理論の問題（第2章）""}, {""授業回"": ""第3回"", ""内容"": ""情報源のモデル（第3章）""}, {""授業回"": ""第4回"", ""内容"": ""マルコフ情報源（第3章）""}, {""授業回"": ""第5回"", ""内容"": ""マルコフ情報源(続)（第3章）""}, {""授業回"": ""第6回"", ""内容"": ""通信路のモデル（第3章）""}, {""授業回"": ""第7回"", ""内容"": ""情報源の符号化（第4章）""}, {""授業回"": ""第8回"", ""内容"": ""ハフマン符号（第4章）""}, {""授業回"": ""第9回"", ""内容"": ""情報源符号化とその限界（第4章）""}, {""授業回"": ""第10回"", ""内容"": ""Lempel-Ziv符号""}, {""授業回"": ""第11回"", ""内容"": ""Lempel-Ziv-Welch法""}, {""授業回"": ""第12回"", ""内容"": ""相互情報量とエントロピー（第5章）""}, {""授業回"": ""第13回"", ""内容"": ""通信路容量（第6章）""}, {""授業回"": ""第14回"", ""内容"": ""通信路符号化の定理（第6章）""}, {""授業回"": ""第15回"", ""内容"": ""通信路符号化・総括""}]","[{""項目"": ""期末筆記試験"", ""割合"": ""80%"", ""詳細"": ""情報の量的表示，情報源符号化の方法とその限界に関する理解度を確かめる．""}, {""項目"": ""小レポート，演習など"", ""割合"": ""20%"", ""詳細"": ""講義内容が理解できているか評価する""}]","{""登録者数"": ""144"", ""A"": ""54.2"", ""B"": ""25.7"", ""C"": ""10.4"", ""D"": ""5.6"", ""F"": ""4.2"", ""他"": ""0.0"", ""評点平均値"": ""3.2"", ""備考"": """"}",2,
人間と情報システムⅠ,情報システムデザイン学科,春学期,金曜日1講時,1,講義,面接/Face-to-face,大久保　雅史,・受講生は，産業界の実像や最先端技術に具体的にふれることによって学習意欲を高めることができるようになる。 ・受講生は，実社会で利用されている技術を予め知ることによって，将来学ぶ基礎学問と実用技術とを有機的に結びつけることができるようになる。,通信技術や信号処理技術，システム開発技術などの縦糸と，システム・エンジニアリングあるいはソリューション・ビジネス，さらには技術の国際標準化や知的財産戦略などの横糸が立体的に絡み合って構成される情報通信産業の最前線の実像を学ぶ。特に，情報通信システム技術が現代生活のいたるところで広く深く用いられ，今や社会のインフラストラクチャーに他ならないことを理解する。また，情報通信産業が，総合メーカーから開発ベンチャーに至るダイナミックなビジネス・フォーメーションから成っていることも修得する。 企業において研究開発および法務，情報システム開発，情報通信技術の企画・事業化等の実務経験を有する教員が，情報通信技術の現状や知的財産の取り扱い，マーケティング手法を概説する。,"[{""授業回"": ""1"", ""内容"": ""ガイダンス：社会を支える情報システム（担当：大久保）""}, {""授業回"": ""2"", ""内容"": ""通信の歴史と通信ネットワークの概要（担当：中谷・大久保）""}, {""授業回"": ""3"", ""内容"": ""イ ンターネット上のサービスの変遷と トレンド（担当：中谷）""}, {""授業回"": ""4"", ""内容"": ""ICTを使っ たビジネスのデザイ ン（担当：中谷）""}, {""授業回"": ""5"", ""内容"": ""攻めと守りのDX（担当：古宮・大久保）""}, {""授業回"": ""6"", ""内容"": ""DX事例とAIの民主化（担当：古宮）""}, {""授業回"": ""7"", ""内容"": ""新たな時代の組織とマネジメント（Well-Beingとは）（担当：古宮）""}, {""授業回"": ""8"", ""内容"": ""スマートシティ概論（歴史，事例）（担当：大賀・大久保）""}, {""授業回"": ""9"", ""内容"": ""スマートシティ概論（データ利活用，都市OS，要素技術）（担当：大賀）""}, {""授業回"": ""10"", ""内容"": ""ビッグデータと個人情報保護（担当：宮武・大久保）""}, {""授業回"": ""11"", ""内容"": ""特許と世界標準（担当：宮武）""}, {""授業回"": ""12"", ""内容"": ""著作権ビジネスの近況と課題（担当：宮武）""}, {""授業回"": ""13"", ""内容"": ""ITでのプラットフォームビジネスを実例を交えて概説（担当：北川・大久保）""}, {""授業回"": ""14"", ""内容"": ""ITでのプラットフォームビジネスプランの発表（担当：北川）""}, {""授業回"": ""15"", ""内容"": ""授業のまとめ（担当：中谷，古宮，大賀，宮武，北川，大久保）""}]","[{""項目"": ""平常点（出席，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""20%"", ""詳細"": ""講義を3回以上欠席，あるいは1教員の講義を2回以上欠席した場合は不合格とする。""}, {""項目"": ""小レポート"", ""割合"": ""80%"", ""詳細"": ""各16点満点の小レポートを5回課す。1回でも未提出の場合は不合格とする。""}]","{""登録者数"": ""79"", ""A"": ""0.0"", ""B"": ""24.1"", ""C"": ""57.0"", ""D"": ""16.5"", ""F"": ""2.5"", ""他"": ""0.0"", ""評点平均値"": ""2.0"", ""備考"": """"}",1,必修
人間と情報システムⅡ,情報システムデザイン学科,秋学期,金曜日1講時,1,講義,面接/Face-to-face,大久保　雅史,この科目の達成目標として，次の項目があげられる． （1）情報工学の各専門分野の技術的な位置づけを理解できるようになる． （2）社会と専門分野の関わり合いを理解できるようになる． （3）技術的な文章を論理的かつ簡潔にまとめることができるようになる． （4）各研究室で取り扱われている具体的な研究内容を知ることにより，情報工学分野の広がりと各専門分野の位置づけを理解できるようになる．,情報システムデザイン学科で学ぶ内容，特に，卒業論文で取り上げるテーマとそれに関連する学問分野について，その分野にかかわる教員が情報工学の最新のトピックスを交えて詳しく説明する．講義は，複数の教員によるオムニバス形式で進められる．,"[{""授業回"": ""1"", ""内容"": ""ガイダンス（小板）""}, {""授業回"": ""2"", ""内容"": ""情報検索技法（大久保）""}, {""授業回"": ""3"", ""内容"": ""音空間レンダリング（土屋）""}, {""授業回"": ""4"", ""内容"": ""機械学習と知識発見（大崎）""}, {""授業回"": ""5"", ""内容"": ""コミュニケーションとコラボレーション支援（大久保）""}, {""授業回"": ""6"", ""内容"": ""計算知能（高橋）""}, {""授業回"": ""7"", ""内容"": ""自然言語処理（田村）""}, {""授業回"": ""8"", ""内容"": ""進化的計算（Tanev）""}, {""授業回"": ""9"", ""内容"": ""次世代無線通信システム（木村）""}, {""授業回"": ""10"", ""内容"": ""モノのインターネット（佐藤）""}, {""授業回"": ""11"", ""内容"": ""クラウドコンピューティング（小板）""}, {""授業回"": ""12"", ""内容"": ""マルチメディア理解（白浜）""}, {""授業回"": ""13"", ""内容"": ""新学問のすゝめ 1（小板）""}, {""授業回"": ""14"", ""内容"": ""新学問のすゝめ 2（小板）""}, {""授業回"": ""15"", ""内容"": ""まとめ（小板）""}]","[{""項目"": ""小レポート"", ""割合"": ""90%"", ""詳細"": ""各講義の内容ごとのレポート課題により理解度を評価する．ただし，正当な理由なく欠席した回のレポートは受理されない．""}, {""項目"": ""平常点"", ""割合"": ""10%"", ""詳細"": ""講義に対しての積極的な参加を評価する．""}]","{""登録者数"": ""79"", ""A"": ""54.4"", ""B"": ""24.1"", ""C"": ""12.7"", ""D"": ""2.5"", ""F"": ""6.3"", ""他"": ""0.0"", ""評点平均値"": ""3.2"", ""備考"": """"}",1,必修
人工知能,情報システムデザイン学科,秋学期,火曜日2講時,2,講義,面接/Face-to-face,白浜　公章,・受講者は，人工知能の中でも最も基礎的で重要な「探索」と「推論」を通して，コンピュータ上で人間の知能が実装される仕組みを理解できるようになる． ・解説する人工知能技術のコード（もしくは，コードにする一歩手前の疑似コード）を提供するため，受講者は，理論と実用の両面から人工知能技術を習得できる． ・受講者は，各技術を単なる知識として記憶するのではなく，その成立の背景，考え方を自らの言葉で説明できるようになることが求められる． ・英語の技術文書の精読課題があるため，受講者は，情報科学の初級レベルの英文技術資料を理解できるようになることが求められる．,人工知能とは，推論，記憶，認識，理解といった人間が行う知的作業をコンピュータ上で実現する技術である．本講義では，あらゆる人工知能技術の基礎となる「解の探索（系統的探索，発見的探索，モンテカルロ木探索）」について重点的に解説する．その後，探索の拡張型として，論理的に知識を組み合わせて解を推論する「記号論理（命題論理，一回述語論理）」について解説する． 人工知能を用いたマルチメディアデータ解析に関する海外研究機関での勤務経験を有する教員が，講義を担当する．,"[{""授業回"": ""1"", ""内容"": ""イントロダクション：人工知能とは""}, {""授業回"": ""2"", ""内容"": ""問題解決""}, {""授業回"": ""3"", ""内容"": ""系統的探索""}, {""授業回"": ""4"", ""内容"": ""発見的探索""}, {""授業回"": ""5"", ""内容"": ""発見的探索の実装""}, {""授業回"": ""6"", ""内容"": ""問題分解法""}, {""授業回"": ""7"", ""内容"": ""ゲーム木探索""}, {""授業回"": ""8"", ""内容"": ""モンテカルロ木探索""}, {""授業回"": ""9"", ""内容"": ""AlphaGo: モンテカルロ木探索の応用例""}, {""授業回"": ""10"", ""内容"": ""命題論理の基礎""}, {""授業回"": ""11"", ""内容"": ""命題論理による推論""}, {""授業回"": ""12"", ""内容"": ""一階述語論理の基礎""}, {""授業回"": ""13"", ""内容"": ""一階述語論理による推論""}, {""授業回"": ""14"", ""内容"": ""総合評価""}, {""授業回"": ""15"", ""内容"": ""講義の総括""}]","[{""項目"": ""レポート1"", ""割合"": ""25%"", ""詳細"": ""人工知能技術のプログラミング課題を課す．""}, {""項目"": ""レポート2"", ""割合"": ""25%"", ""詳細"": ""人工知能技術に関する英語文書の精読課題を課す．""}, {""項目"": ""総合評価"", ""割合"": ""50%"", ""詳細"": ""解説した人工知能技術に関する総合的な理解度を評価する．""}]","{""登録者数"": ""66"", ""A"": ""22.7"", ""B"": ""27.3"", ""C"": ""15.2"", ""D"": ""13.6"", ""F"": ""21.2"", ""他"": ""0.0"", ""評点平均値"": ""2.2"", ""備考"": ""*""}",3,
数学の基礎Ⅰ,情報システムデザイン学科,春学期,火曜日2講時,2,講義,面接/Face-to-face,佐藤 敬志,学生が微積分学の初等的内容を理解できるようになること。,本講義は高校の数学Ⅲの復習と解析学の前半（一変数の微積分）に習熟するためのコースである。高校で微分積分を一応履修はしたのだが充分ではない人達を対象に，大学での微分積分学の基礎を高校の復習から始め講義する。,"[{""授業回"": ""1"", ""内容"": ""講義内容のイントロダクション""}, {""授業回"": ""2"", ""内容"": ""関数の極限""}, {""授業回"": ""3"", ""内容"": ""各種の微分法""}, {""授業回"": ""4"", ""内容"": ""逆三角関数""}, {""授業回"": ""5"", ""内容"": ""高階微分，極値問題""}, {""授業回"": ""6"", ""内容"": ""テイラーの定理１""}, {""授業回"": ""7"", ""内容"": ""テイラーの定理２""}, {""授業回"": ""8"", ""内容"": ""ここまでの復習""}, {""授業回"": ""9"", ""内容"": ""定積分""}, {""授業回"": ""10"", ""内容"": ""部分積分・置換積分""}, {""授業回"": ""11"", ""内容"": ""有理関数の不定積分""}, {""授業回"": ""12"", ""内容"": ""三角関数の有理関数の不定積分""}, {""授業回"": ""13"", ""内容"": ""無理関数の不定積分""}, {""授業回"": ""14"", ""内容"": ""ここまでの復習""}, {""授業回"": ""15"", ""内容"": ""講義内容の総括""}]","[{""項目"": ""平常点"", ""割合"": ""10%"", ""詳細"": ""講義への出席""}, {""項目"": ""期末試験"", ""割合"": ""90%"", ""詳細"": ""微分法，積分法の基本事項の理解度を問う。特に，具体的な計算問題が着実に出来るかということを中心に問う。""}]","{""登録者数"": ""65"", ""A"": ""4.6"", ""B"": ""16.9"", ""C"": ""20.0"", ""D"": ""18.5"", ""F"": ""40.0"", ""他"": ""0.0"", ""評点平均値"": ""1.3"", ""備考"": ""*""}",1,
数学の基礎Ⅱ,情報システムデザイン学科,春学期,火曜日5講時,2,講義,面接/Face-to-face,萬代 武史,小テストと同様の問題が，正確に解けるようになること。,本講義は，高校の数学Ⅱ，数学Bの復習とベクトルを含めた空間図形の取り扱いと方程式を徹底させるためのコースである。高校でベクトルや方程式に関する内容を一応履修はしたのだが充分ではない人達を対象に，高校の復習から始め講義する。また，現在高校ではあまり扱わない空間図形，及び複素数に関する基本事項も扱う。講義中に問題演習の時間を多くとり，小テストやレポートを課して，単に頭のなかで考えただけでなく，紙とペンを充分に使うことにより上記の内容の理解を深めるとともに計算力も養っていく。,"[{""授業回"": ""1"", ""内容"": ""直線，円の方程式とその基本事項（2次元の取り扱い）""}, {""授業回"": ""2"", ""内容"": ""平面ベクトル（内積と1次独立）""}, {""授業回"": ""3"", ""内容"": ""直線，平面，球の方程式とその基本事項（3次元の取り扱い）""}, {""授業回"": ""4"", ""内容"": ""空間ベクトルと内積，外積，1次独立""}, {""授業回"": ""5"", ""内容"": ""ベクトルと方程式の関係""}, {""授業回"": ""6"", ""内容"": ""行列の演算と空間ベクトルとの関係""}, {""授業回"": ""7"", ""内容"": ""空間図形・ベクトルに関する総合演習""}, {""授業回"": ""8"", ""内容"": ""複素数と複素平面とは""}, {""授業回"": ""9"", ""内容"": ""複素数の基本演算（四則）と図形的意味""}, {""授業回"": ""10"", ""内容"": ""複素指数ドモアブルの定理の紹介と三角関数の加法定理""}, {""授業回"": ""11"", ""内容"": ""複素数関連総合演習""}, {""授業回"": ""12"", ""内容"": ""方程式の媒介変数表示""}, {""授業回"": ""13"", ""内容"": ""媒介変数表示の応用""}, {""授業回"": ""14"", ""内容"": ""数学的帰納法と数列""}, {""授業回"": ""15"", ""内容"": ""授業の振り返りと期末試験の解説など""}]","[{""項目"": ""小レポート"", ""割合"": ""20%"", ""詳細"": ""各単元の基本事項が理解できているか確認する．""}, {""項目"": ""小テスト"", ""割合"": ""20%"", ""詳細"": ""授業内容の理解度をみる．""}, {""項目"": ""期末試験"", ""割合"": ""60%"", ""詳細"": ""授業内容全体の理解度を見る．""}]","{""登録者数"": ""50"", ""A"": ""26.0"", ""B"": ""34.0"", ""C"": ""22.0"", ""D"": ""12.0"", ""F"": ""6.0"", ""他"": ""0.0"", ""評点平均値"": ""2.6"", ""備考"": """"}",1,
